,0
age,0
bp,0
height,0
weight,0
foot,0
growth,0
value,0
wage,0
release_clause,0
attacking,0
crossing,0
finishing,0
heading_accuracy,0
short_passing,0
volleys,41
skill,0
dribbling,0
curve,41
fk_accuracy,0
long_passing,0
ball_control,0
movement,0
acceleration,0
sprint_speed,0
agility,41
reactions,0
balance,41
power,0
shot_power,0
jumping,41
stamina,0
strength,0
long_shots,0
mentality,0
aggression,0
interceptions,7
positioning,7
vision,41
penalties,0
composure,279
defending,0
marking,0
standing_tackle,0
sliding_tackle,41
goalkeeping,0
gk_diving,0
gk_handling,0
gk_kicking,0
gk_positioning,0
gk_reflexes,0
total_stats,0
base_stats,0
w_f,0
sm,0
a_w,59
d_w,59
ir,0
pac,0
sho,0
pas,0
dri,0
def,0
phy,0
ova,0
